dateStart,dateEnd,hourStart,hourEnd,ubicacion,relativeTargetSample,nSamples,alg,cv,mean,std
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,3.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",3.0,0.841680819665,0.0790354913022
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",3.0,0.841680819665,0.0790354913022
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,5.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",3.0,0.841680819665,0.0790354913022
20150601.0,20150605.0,1900.0,1900.0,['Nava de Arevalo'],2.0,4.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",3.0,0.841680819665,0.0790354913022
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",3.0,0.841680819665,0.0790354913022
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",3.0,0.835183204761,0.0806801616274
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",2.0,0.810335165858,0.00326257115559
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",4.0,0.834155951097,0.120104369514
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",4.0,0.834155951097,0.120104369514
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",5.0,0.839951044592,0.134756253129
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=1, normalize=False)",3.0,0.835183204761,0.0806801616274
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"Ridge(alpha=0.5, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=None, solver='auto', tol=0.001)",3.0,0.835146008628,0.0797075496806
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"RidgeCV(alphas=[0.1, 1.0, 10.0], cv=None, fit_intercept=True, gcv_mode=None,
    normalize=False, scoring=None, store_cv_values=False)",3.0,0.834496279537,0.0796384131496
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"Lasso(alpha=0.1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=None,
   selection='cyclic', tol=0.0001, warm_start=False)",3.0,-0.143323388839,0.230464820158
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"LassoLars(alpha=0.1, copy_X=True, eps=2.2204460492503131e-16,
     fit_intercept=True, fit_path=True, max_iter=500, normalize=True,
     positive=False, precompute='auto', verbose=False)",3.0,-0.143323388839,0.230464820158
20150601.0,20150930.0,800.0,2000.0,['Nava de Arevalo'],2.0,4.0,"BayesianRidge(alpha_1=1e-06, alpha_2=1e-06, compute_score=False, copy_X=True,
       fit_intercept=True, lambda_1=1e-06, lambda_2=1e-06, n_iter=300,
       normalize=False, tol=0.001, verbose=False)",3.0,0.835115117385,0.079802810169
