PassengerId,Survived
446,0.0
447,1.0
448,0.0
449,1.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,1.0
459,1.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,1.0
471,0.0
472,0.0
473,1.0
474,1.0
475,1.0
476,0.0
477,0.0
478,0.0
479,0.0
480,1.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,1.0
487,1.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,1.0
498,0.0
499,1.0
500,0.0
501,0.0
502,1.0
503,1.0
504,1.0
505,1.0
506,0.0
507,1.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,1.0
515,0.0
516,0.0
517,1.0
518,0.0
519,1.0
520,0.0
521,1.0
522,0.0
523,0.0
524,1.0
525,0.0
526,0.0
527,1.0
528,0.0
529,0.0
530,0.0
531,1.0
532,0.0
533,0.0
534,1.0
535,1.0
536,1.0
537,0.0
538,1.0
539,0.0
540,1.0
541,1.0
542,1.0
543,1.0
544,0.0
545,0.0
546,0.0
547,1.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,1.0
556,0.0
557,1.0
558,0.0
559,1.0
560,1.0
561,0.0
562,0.0
563,0.0
564,0.0
565,1.0
566,0.0
567,0.0
568,1.0
569,0.0
570,0.0
571,0.0
572,1.0
573,0.0
574,1.0
575,0.0
576,0.0
577,1.0
578,1.0
579,1.0
580,0.0
581,1.0
582,1.0
583,0.0
584,0.0
585,0.0
586,1.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,1.0
593,0.0
594,1.0
595,0.0
596,0.0
597,1.0
598,0.0
599,0.0
600,0.0
601,1.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,1.0
610,1.0
611,1.0
612,0.0
613,1.0
614,0.0
615,0.0
616,1.0
617,0.0
618,1.0
619,1.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,1.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,1.0
636,1.0
637,0.0
638,0.0
639,1.0
640,0.0
641,0.0
642,1.0
643,1.0
644,0.0
645,1.0
646,0.0
647,0.0
648,0.0
649,0.0
650,1.0
651,0.0
652,1.0
653,0.0
654,1.0
655,1.0
656,0.0
657,0.0
658,1.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,1.0
671,1.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,1.0
679,1.0
680,0.0
681,1.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,1.0
691,0.0
692,1.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,1.0
699,0.0
700,0.0
701,1.0
702,0.0
703,1.0
704,0.0
705,0.0
706,0.0
707,1.0
708,0.0
709,1.0
710,0.0
711,1.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,1.0
718,1.0
719,0.0
720,0.0
721,1.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,1.0
728,1.0
729,0.0
730,1.0
731,1.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,1.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,1.0
744,0.0
745,0.0
746,0.0
747,0.0
748,1.0
749,0.0
750,0.0
751,1.0
752,0.0
753,0.0
754,0.0
755,1.0
756,0.0
757,0.0
758,0.0
759,0.0
760,1.0
761,0.0
762,0.0
763,0.0
764,1.0
765,0.0
766,1.0
767,0.0
768,1.0
769,0.0
770,0.0
771,0.0
772,0.0
773,1.0
774,0.0
775,1.0
776,0.0
777,0.0
778,1.0
779,0.0
780,1.0
781,1.0
782,1.0
783,0.0
784,0.0
785,0.0
786,0.0
787,1.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,1.0
794,0.0
795,0.0
796,0.0
797,1.0
798,1.0
799,0.0
800,1.0
801,0.0
802,1.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,1.0
809,0.0
810,1.0
811,0.0
812,0.0
813,0.0
814,1.0
815,0.0
816,0.0
817,1.0
818,0.0
819,0.0
820,0.0
821,1.0
822,0.0
823,0.0
824,1.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,1.0
831,1.0
832,0.0
833,0.0
834,0.0
835,0.0
836,1.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,1.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,1.0
851,0.0
852,0.0
853,1.0
854,1.0
855,1.0
856,1.0
857,1.0
858,0.0
859,1.0
860,0.0
861,0.0
862,0.0
863,1.0
864,1.0
865,0.0
866,1.0
867,1.0
868,0.0
869,0.0
870,0.0
871,0.0
872,1.0
873,0.0
874,0.0
875,1.0
876,1.0
877,0.0
878,0.0
879,0.0
880,1.0
881,1.0
882,0.0
883,1.0
884,0.0
885,0.0
886,1.0
887,0.0
888,1.0
889,1.0
890,0.0
891,0.0
